country_id,country,last_update
36,French Polynesia,8:29 PM
37,Gambia,9:29 PM
38,Germany,10:29 PM
39,Greece,11:29 PM
40,Greenland,12:29 AM
41,Holy See (Vatican City State),1:29 AM
42,Hong Kong,2:29 AM
43,Hungary,3:29 AM
44,India,4:29 AM
45,Indonesia,5:29 AM
46,Iran,6:29 AM
47,Iraq,7:29 AM
48,Israel,8:29 AM
49,Italy,9:29 AM
50,Japan,10:29 AM
51,Kazakstan,11:29 AM
52,Kenya,12:29 PM
53,Kuwait,1:29 PM
54,Latvia,2:29 PM
55,Liechtenstein,3:29 PM
56,Lithuania,4:29 PM
57,Madagascar,5:29 PM
58,Malawi,6:29 PM
59,Malaysia,7:29 PM
60,Mexico,8:29 PM
61,Moldova,9:29 PM
62,Morocco,10:29 PM
63,Mozambique,11:29 PM
64,Myanmar,12:29 AM
65,Nauru,1:29 AM
66,Nepal,2:29 AM
67,Netherlands,3:29 AM
68,New Zealand,4:29 AM
69,Nigeria,5:29 AM
70,North Korea,6:29 AM
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
